0.09343697636021378@gmail.com,user123
0.9820042509287148@gmail.com,user123
0.8563382158459437@gmail.com,user123
0.8227514039300216@gmail.com,user123
0.9817821397952566@gmail.com,user123
0.914560286115773@gmail.com,user123
0.6211272282511351@gmail.com,user123
0.3929218815108208@gmail.com,user123
0.6242520534228148@gmail.com,user123
0.3849103860517432@gmail.com,user123
0.9701258495219791@gmail.com,user123
0.888727494963085@gmail.com,user123
0.14946064097432102@gmail.com,user123
0.34566964681560686@gmail.com,user123
0.6389433428948929@gmail.com,user123
0.4475764570235387@gmail.com,user123
